"station_id","obsTime","ELEV","WDIR","WDSD","TEMP","HUMD","PRES","SUN","H_24R","H_FX","H_XD","H_FXT","D_TX","D_TXT","D_TN","D_TNT"
"C0A970","2019-09-30 00:00:00","96.000","63.000","7.300","25.300","0.990","1002.000","","3.500","-99.000","-99.000","-99.000","29.700","","23.800",""
"CM0110","2019-09-30 00:00:00","7.000","35.000","2.300","26.800","0.810","1006.700","","0.000","-99.000","-99.000","-99.000","29.400","","25.100",""
"C0S940","2019-09-30 00:00:00","150.000","19.000","2.400","25.100","0.900","992.700","","2.000","-99.000","-99.000","-99.000","29.800","","23.600",""
"C0X250","2019-09-30 00:00:00","33.000","16.000","1.300","26.300","0.960","1003.600","","0.000","-99.000","-99.000","-99.000","32.700","","25.100",""
"C0K520","2019-09-30 00:00:00","10.000","355.000","1.800","26.100","0.930","1005.300","","0.000","-99.000","-99.000","-99.000","30.300","","24.600",""
"C0Z200","2019-09-30 00:00:00","153.000","46.000","2.400","26.300","0.940","995.500","","25.500","-99.000","-99.000","-99.000","29.600","","22.700",""
"C0V740","2019-09-30 00:00:00","60.000","15.000","0.800","25.700","0.940","1001.500","","0.000","-99.000","-99.000","-99.000","33.000","","23.600",""
"C0AH00","2019-09-30 00:00:00","38.000","37.000","1.800","26.400","1.000","1006.800","","51.500","7.700","41.000","","28.800","","24.400",""
"C0V700","2019-09-30 00:00:00","24.000","167.000","1.100","29.300","0.720","1003.600","","0.000","-99.000","-99.000","-99.000","31.800","","26.600",""
"C0X240","2019-09-30 00:00:00","394.000","224.000","0.300","23.700","0.950","964.500","","0.000","-99.000","-99.000","-99.000","30.500","","21.400",""
"C0S990","2019-09-30 00:00:00","409.000","11.000","6.800","23.900","0.950","963.400","","0.500","-99.000","-99.000","-99.000","28.500","","22.800",""
"C0E850","2019-09-30 00:00:00","104.000","0.000","0.200","25.000","0.880","995.400","","0.000","-99.000","-99.000","-99.000","31.400","","22.300",""
"C0T9B0","2019-09-30 00:00:00","558.000","238.000","1.400","23.000","0.880","951.000","","14.000","-99.000","-99.000","-99.000","27.600","","21.600",""
"C0G650","2019-09-30 00:00:00","34.000","0.000","0.200","26.000","0.990","1003.100","","0.000","-99.000","-99.000","-99.000","33.100","","24.100",""
"C0K580","2019-09-30 00:00:00","26.000","336.000","0.300","26.000","0.990","1005.200","","0.000","-99.000","-99.000","-99.000","32.500","","24.700",""
"C0X050","2019-09-30 00:00:00","25.000","0.000","0.000","26.200","0.960","1003.600","","0.000","-99.000","-99.000","-99.000","34.500","","24.000",""
"CM0100","2019-09-30 00:00:00","25.000","22.000","4.700","27.400","0.780","1005.500","","5.000","-99.000","-99.000","-99.000","30.500","","25.100",""
"C0AC70","2019-09-30 00:00:00","71.000","84.000","2.400","26.200","0.940","1003.300","","36.500","-99.000","-99.000","-99.000","29.900","","24.300",""
"CM0130","2019-09-30 00:00:00","11.000","352.000","2.600","27.200","0.840","1006.700","","0.000","-99.000","-99.000","-99.000","28.600","","26.000",""
"C0W110","2019-09-30 00:00:00","16.000","31.000","9.100","24.800","0.870","1011.600","","0.000","14.600","38.000","","25.800","","24.300",""
"C0R670","2019-09-30 00:00:00","26.000","46.000","4.600","29.000","-99.000","1005.100","","0.000","-99.000","-99.000","-99.000","31.200","","25.000",""
"C0X120","2019-09-30 00:00:00","28.000","348.000","1.800","26.700","0.910","1005.000","","0.000","-99.000","-99.000","-99.000","32.100","","25.600",""
"C0R100","2019-09-30 00:00:00","1006.000","312.000","0.500","20.500","0.960","900.000","","0.000","-99.000","-99.000","-99.000","27.000","","18.700",""
